antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({5952, 318})",frozenset({7153}),0.12355848434925865,0.24052718286655683,0.10543657331136738,0.8533333333333334,3.547762557077626,0.07571739915157864,5.178223753182569
"frozenset({1210, 1198})",frozenset({1196}),0.12520593080724876,0.2685337726523888,0.10214168039538715,0.8157894736842106,3.0379399418792383,0.06851965943726268,3.9708166627441766
frozenset({1221}),frozenset({858}),0.1696869851729819,0.2487644151565074,0.13673805601317957,0.8058252427184465,3.2393107439079274,0.09452597238695179,3.8688632619439844
frozenset({7438}),frozenset({6874}),0.13344316309719934,0.17462932454695224,0.1070840197693575,0.8024691358024691,4.595271372000932,0.08378093033228479,4.178439044481054
"frozenset({4993, 318})",frozenset({7153}),0.13509060955518945,0.24052718286655683,0.1070840197693575,0.7926829268292683,3.2956064149682596,0.07459105602132182,3.6633394708789617
frozenset({500}),frozenset({356}),0.15485996705107083,0.40691927512355847,0.12191103789126853,0.7872340425531915,1.934619691618572,0.058895532353188645,2.787479406919276
"frozenset({318, 47})",frozenset({296}),0.128500823723229,0.38385502471169686,0.10049423393739704,0.782051282051282,2.037361065258061,0.05116854707164357,2.827018121911038
frozenset({7438}),frozenset({2959}),0.13344316309719934,0.27677100494233936,0.10378912685337727,0.7777777777777778,2.8101851851851856,0.06685592850028091,3.2545304777594732
"frozenset({5952, 4993})",frozenset({7153}),0.14662273476112025,0.24052718286655683,0.11367380560131796,0.7752808988764045,3.2232568877943666,0.07840705226503533,3.379654036243822
"frozenset({296, 2028})",frozenset({2571}),0.13509060955518945,0.33278418451400327,0.10378912685337727,0.7682926829268293,2.308681477903888,0.05883310851705393,2.8795629931500915
"frozenset({1196, 589})",frozenset({260}),0.13344316309719934,0.31960461285008235,0.10214168039538715,0.7654320987654322,2.394934453353698,0.059492629916216365,2.9006329662707024
"frozenset({5952, 2571})",frozenset({7153}),0.13179571663920922,0.24052718286655683,0.10049423393739704,0.7625000000000001,3.170119863013699,0.06879378150028906,3.19778028266713
"frozenset({480, 318})",frozenset({296}),0.14332784184514002,0.38385502471169686,0.10873146622734761,0.7586206896551725,1.976320852449312,0.053714353954007206,2.552600611908685
"frozenset({593, 2959})",frozenset({296}),0.13673805601317957,0.38385502471169686,0.10214168039538715,0.746987951807229,1.9460158229484463,0.04965409052541872,2.4352396642347225
"frozenset({1196, 1198})",frozenset({260}),0.15485996705107083,0.31960461285008235,0.11532125205930807,0.7446808510638299,2.330006580390437,0.06582729224397407,2.664881933003845
"frozenset({5952, 7153})",frozenset({4993}),0.15321252059308071,0.24382207578253706,0.11367380560131796,0.7419354838709677,3.0429380993897124,0.07631721079443832,2.930189456342669
"frozenset({50, 356})",frozenset({296}),0.14991762767710048,0.38385502471169686,0.11037891268533773,0.7362637362637363,1.9180776305239826,0.052832278008625354,2.3362163646348164
"frozenset({356, 1196})",frozenset({260}),0.14827018121911037,0.31960461285008235,0.10873146622734761,0.7333333333333334,2.2945017182130587,0.06134363236160229,2.551482701812192
"frozenset({4993, 2571})",frozenset({7153}),0.1416803953871499,0.24052718286655683,0.10378912685337727,0.7325581395348838,3.0456355527237977,0.06971114048348619,2.839767924933745
"frozenset({1210, 1196})",frozenset({260}),0.15980230642504117,0.31960461285008235,0.11696869851729819,0.731958762886598,2.290200871506005,0.06589514423977268,2.5383981751362317
frozenset({48516}),frozenset({2959}),0.14662273476112025,0.27677100494233936,0.1070840197693575,0.7303370786516854,2.638777421080792,0.06650309812212818,2.6819741900054916
"frozenset({7153, 318})",frozenset({4993}),0.14662273476112025,0.24382207578253706,0.1070840197693575,0.7303370786516854,2.9953689644700883,0.0713341602229888,2.804159802306425
"frozenset({260, 589})",frozenset({1196}),0.1400329489291598,0.2685337726523888,0.10214168039538715,0.7294117647058824,2.7162757127390833,0.06453810432380058,2.7032447532411723
"frozenset({296, 1196})",frozenset({260}),0.1400329489291598,0.31960461285008235,0.10214168039538715,0.7294117647058824,2.282231655548818,0.05738650396662768,2.5145046916410005
"frozenset({1210, 2571})",frozenset({1196}),0.14991762767710048,0.2685337726523888,0.10873146622734761,0.7252747252747254,2.7008696824647744,0.06847352008011964,2.6625370675453053
"frozenset({480, 318})",frozenset({356}),0.14332784184514002,0.40691927512355847,0.10378912685337727,0.7241379310344828,1.7795616361859556,0.045466265344728855,2.149917627677101
"frozenset({2571, 1196})",frozenset({260}),0.15980230642504117,0.31960461285008235,0.11532125205930807,0.7216494845360826,2.257944521203104,0.06424769778178256,2.4443834279089645
frozenset({5952}),frozenset({7153}),0.21252059308072488,0.24052718286655683,0.15321252059308071,0.7209302325581395,2.997292131251991,0.10209554103824409,2.7214442613948373
"frozenset({593, 2571})",frozenset({296}),0.15321252059308071,0.38385502471169686,0.11037891268533773,0.7204301075268817,1.8768286492223916,0.05156751680693936,2.203903180838931
"frozenset({7153, 318})",frozenset({5952}),0.14662273476112025,0.21252059308072488,0.10543657331136738,0.7191011235955057,3.3836773800191624,0.07427622276081629,2.8034266886326202
"frozenset({260, 1198})",frozenset({1196}),0.1614497528830313,0.2685337726523888,0.11532125205930807,0.7142857142857143,2.6599474145486415,0.07196654082383179,2.560131795716639
frozenset({597}),frozenset({356}),0.1614497528830313,0.40691927512355847,0.11532125205930807,0.7142857142857143,1.7553499132446502,0.04962423564726734,2.075782537067546
"frozenset({593, 318})",frozenset({296}),0.19604612850082373,0.38385502471169686,0.1400329489291598,0.7142857142857142,1.8608215818516245,0.0647796574288436,2.1565074135090603
frozenset({1213}),frozenset({858}),0.14827018121911037,0.2487644151565074,0.10543657331136738,0.7111111111111111,2.858572479764533,0.06855222839524602,2.60043087061209
"frozenset({593, 589})",frozenset({296}),0.14827018121911037,0.38385502471169686,0.10543657331136738,0.7111111111111111,1.852551263710062,0.048522319235498,2.1328095298441263
frozenset({595}),frozenset({356}),0.1812191103789127,0.40691927512355847,0.128500823723229,0.709090909090909,1.742583732057416,0.054759274689305706,2.038714991762767
"frozenset({7153, 2571})",frozenset({4993}),0.14662273476112025,0.24382207578253706,0.10378912685337727,0.7078651685393259,2.9032037655633163,0.06803926730700857,2.588455202129008
frozenset({1210}),frozenset({260}),0.2355848434925865,0.31960461285008235,0.16639209225700163,0.7062937062937062,2.209898349073607,0.09109808955920629,2.316584294343767
frozenset({1291}),frozenset({1196}),0.18451400329489293,0.2685337726523888,0.1301482701812191,0.7053571428571428,2.626698071866783,0.08060002876924621,2.482552044331286
"frozenset({7153, 356})",frozenset({318}),0.14497528830313014,0.4200988467874794,0.10214168039538715,0.7045454545454546,1.6770944741532978,0.04123772896655983,1.962742364719301
"frozenset({1210, 2571})",frozenset({260}),0.14991762767710048,0.31960461285008235,0.10543657331136738,0.7032967032967034,2.20052112835618,0.057522207958224894,2.2931844529867598
"frozenset({1210, 260})",frozenset({1196}),0.16639209225700163,0.2685337726523888,0.11696869851729819,0.702970297029703,2.6178096337241086,0.0722868022440012,2.4626029654036246
